UUID	Stance	Command	Move Name	Damage	Hit Range	Properties	Speed	Block Adv	Hit Adv	CH Adv	Notes	Unmatched
3d4406c6-e8c9-46ea-9861-9b45eca3b688	Default	= d+4	= Low Kick	10	L	RC		-14	-8	-8		
b6935e55-19dd-499c-97a4-03fbea11856e	Default	= 1	= Razor's Edge	21	m	JG		-18	KD	KD		
b674ef65-2087-4244-8845-da727f8d4177	Default	b+4					14	-7	+4	KD		TRUE
a4160681-7540-4286-b676-b10d1c905741	Default	d/f+4<2<b,f+1					14	-7 -9 -15	+4 -2 KD	+4 -2 KD		TRUE
68c166e4-e304-4e01-b4ce-db962674da70	Default	WS+4	Skyscraper Kick	15	m		11	-17	KD	KD		
4bd241b6-69b2-4ea9-9687-ec86f66fa79e	Default	FC,d/f+4,3	Bow & Arrow	12,15	Lm		16	-14 -14	-3 KD	-3 KD		
546f6e8e-af89-4524-bf58-cd0c1b20e6e9	Default	(FC_d)+(1+3_2+4)	Low Parry	-	-							
3dc8ce33-b7c0-492f-bdf1-3fc2e49bb48f	Default	2+3+4	Wave Taunt	-	-							
809b9e28-7edb-4b06-9490-a8a35afb569f	Default	f+1+4	Heaven Cannon	50	!	JG	67		KD	KD		
ccf0a3a5-f4fa-4f4b-bfbd-48bc33e040b8	Default	1+3	Death Valley Bomb	35	Front	1	12					
49acdbff-ce62-4d53-a697-af8ad2f6be83	Default	2+4	Fisherman Suplex	30	Front	2	12					
13e28a3c-3378-4511-b470-6a26337bc5f7	Default	d/f+1+2	Arm Lock Suplex	37	Front	1+2	11					
4d0f84e8-529d-4db4-8f64-90edf8a8a741	Default	d,D/B+1+3	Waist Suplex	30	Front	1	11					
3ed7dfbd-b8fa-4be1-84d1-55c93ac1f89e	Default	FC,d/b,d,d/b+1+2	Cross Arm Lock	45	Front	1+2	12					
96749d24-e22c-48c4-9354-27fc1e444825	Default	qcb,f+2	Mad Axes	14,14,14	Front	1+2	10					
e20e7e32-786f-4f71-8cf3-68adbae4eb66	Default	(1+3_2+4)	Running Bulldog	40	Left	1						
f65d320c-1b83-464a-b485-98ad5d451bbd	Default	(1+3_2+4)	Twisted Sister	45	Right	2						
421fae54-a400-4c75-b9af-ba6cbd823d01	Default	(1+3_2+4)	German Suplex	50	Back	None						
0cd8954e-9227-46dc-b6e7-4fe40147c7e8	Default	2,1,1,2,3,3,3,4,4,1		8,6,6,6,6,6,6,7,8,25	h"mm"hLm"hh"Lm						10 hits	
e4b2eee2-4a92-4478-b30b-a8c27187959d	Default	2,1,1,2,3,3,2,3,2,1		8,6,6,6,6,6,7,5,5,30	h"mm"hLm"mL"m!						10 hits	
13ad2a5d-8a37-4ea4-b24d-ba4c3fc942d4	Default	2,1,1,2,3,3,2,1,4,3		8,6,6,6,6,67,7,10,25	h"mm"hLm"mm"Lm						10 hits	
