Character	Stance	Type	Command	Move Name	Damage	Hit Range	Properties	Speed	Block Adv	Hit Adv	CH Adv	Alt Commands	Notes	Unmatched	UUID
Jin	Default	throw	(FC_db)+1+2	Ultimate Tackle	5	Front	System								8887f842-2f27-4a51-ab1d-7114e68b0633
Jin	Default	throw	 = 1,2,1,(2,1_1,2)	= Ultimate Punches	5,5,5,5,5		System								6460e2a9-02db-4015-b1d0-962fc19b6eaa
Jin	Default	throw	 = 2,1,2,(1,2_2,1)	= Ultimate Punches	5,5,5,5,5		System								e3f9155e-9fed-4733-abbe-ce5df77c0d72
Jin	Default	throw	 = 1,2,1,1+2	= Punches - Cross Arm Lock	5,5,5,25		System								d3dcdca9-7afe-4a0e-b7aa-030eca6325ce
Jin	Default	throw	 = 2,1,2,1+2	= Punches - Cross Arm Lock	5,5,5,25		System								bf066990-04d2-4277-b512-706a58b1b08a
Jin	Default	throw	 = 1+2	= Cross Arm Lock	25		System								8592fa3f-7205-4264-8975-c5e17053d76f
Jin	Default	throw	(1+3_2+4)	Shoulder Flip	12,19	Left	1								1683c720-df9e-4dbe-b02a-aaeab72ec13a
Jin	Default	throw	(1+3_2+4)	Over the Limit	40	Right	2								ac66b5d9-a2d8-436e-8681-e0686a242beb
Jin	Default	throw	(1+3_2+4)	Chicken Butcher	60	Back	None								b9ee3180-b42d-43ac-ad2b-23eeb0894d56
Jin	Default	10string	+2,4,4,4,4,2,1+4,2,1,3		12,10,10,8,6,6,5,5,5,21,12	h"h"hL"mmlhh"mm							11 hits		ba34d687-ae25-485b-9aab-a79d957868b8
Jin	Default	10string	b+2,4,4,4,4,2,1+4,2,1,4		12,10,10,8,6,6,5,5,5,21,20	h"h"hL"mmlhh"mL							11 hits		d2789d86-195e-4b45-a9bd-9201448b1148
Jin	Default	10string	b+2,4,4,4,4,2,1+4,2,d+3+4		12,10,10,8,6,6,5,5,5,21,21	h"h"hL"mmlhh"lh							11 hits		21fd7965-86ce-4892-89d6-fa7fec737466
Jin	Default	10string	f,f,2,1,2,2,3,4,4,1,2,1		7,8,6,7,6,11,5,5,8,30	hh"hh"mm"Lhmm							10 hits		71b76d1d-0795-49ff-8896-dbd90b821527
Jin	Default	10string	f,f,2,1,2,2,3,4,4,3,2,1		7,8,6,7,6,11,5,5,25,30	hh"hh"mm"LL"m!							10 hits		1ef2c2a7-b96f-473e-9639-cfa44fc57eee
Jin	Default	10string	3,2,4,3,1+4,2,2,1,2		15,6,10,10,7,5,7,10,15,30	hh"mhlhh"mmm							10 hits		279e1c95-d9df-4db2-b5e8-4ff220b0beab
Jin	Default	10string	f,f,2,1,4,4,2,4,3,2,1		7,8,7,10,5,7,5,25,30	hh"mm"lm"L"m!							9 hits		da8ce522-2f05-43b8-b22c-55108496c033
Jin	Default	10string	3,2,4,3,1+4,2,1,3		15,6,10,10,7,5,7,21,20	hh"mhlhh"mm							9 hits		2b63a52b-c49d-4d92-a394-0c9cd6efbc0c
Jin	Default	10string	3,2,4,3,1+4,2,1,4		15,6,10,10,7,5,7,21,12	hh"mhlhh"mL							9 hits		7a6c3747-e559-4f54-a928-658674db30b0
Jin	Default	10string	b+2,4,2,1,2		12,10,10,15,30	h"h"m"m"m							5 hits		37651ad4-b277-4ccf-be56-fd260ebacfab
Julia	Default		1	Left Jab (Generic i8)				8	0	+6	+6				fcfd0c05-3dd2-429d-ab40-36227b0c7590
Julia	Default		2	Right Jab (Generic i10)				10	-2	+9	+9				9f921902-3f65-4e8c-9ff5-f05ae8eb359e
Julia	Default		3	Left Kick (Generic i14)				14	-16	KD	KD				996786be-a531-4b25-bb3d-c5aacb1d0bc7
Julia	Default		4	Right Kick (Generic i10)				10	-7	-7	KD				0459ec42-3f1a-456c-9598-21272abeb6de
Julia	Default		F,1					8	0	+6	+6				f6175670-db0a-4fb8-9da7-5f051b2a8567
Julia	Default		F,2					10	-2	+9	+9				b22a4404-190e-47eb-a6c9-73884d71a950
Julia	Default		F,3					16	-16	KD	KD				09de110a-3f8d-4621-a105-31fd34ce9d20
Julia	Default		F,4					10	-7	-7	KD				18a42e20-e9ba-4630-b7be-4768a589d81a
Julia	Default		d+1	Crouching Left Jab (Generic i8)				8	-2	+9	+9	FC 1			f89e0638-fe30-4a6b-8942-4a1e3e2635ed
Julia	Default		d+2	Crouching Right Jab (Generic i10)				10	-2	+9	+9	FC 2			26355b4d-95bf-4dce-86fe-39427a374ea9
Julia	Default		d+3					16	-17	-3	-3	FC 3			5e89911f-db11-4f2b-9e3f-b2a314cd1198
Julia	Default		d+4					20	-9	-10	-10	FC 4			4956c7a9-e91c-473c-a27a-40c7eca7bd2b
Julia	Crouching		WS+1					10	-3	+8	+8				ce4c7d8c-f1ed-443e-b1eb-3828a914f1d6
Julia	Crouching		WS+2					18	-11	0	0				786c09be-0167-4ee5-87dc-1421dc42b4c6
Julia	Crouching		WS+3					16	-16	KD	KD				2aa3bb47-5860-4467-84c2-3b5e62b5689f
Julia	Crouching		WS+4					11	-17	KD	KD				8dec061c-b5b9-4126-ad93-7c8a660965ef
Julia	Default		df+1					20	-15	-4	-4				60588c15-fe0e-497c-93dc-82e1db1061b3
Julia	Default		df+2					16	-6	+5	+5				14f9e3c2-923b-4548-bc99-002601fc9560
Julia	Default		df+3					14	-10	+1	+1				609de8c5-30c0-413e-98ed-1e185e0fa1fa
Julia	Default		df+4					12	-7	+4	+4				3cdf43f9-918f-42c3-a5a5-befcfebcb19c
Julia	Default		1+2	Twin Arrow	25	m	GB	21	+3	KD	KD				500b0d64-9891-4454-8b8e-17df487e3ea6
Julia	Default		f+1	Flash Uppercut	15	m	JG	19	-15	KD	KD				b18aa333-2442-4160-af5c-13f0922950af
Julia	Default		d,df+1	Flash Punch	14	m		11	-8	-2	+3	WR+1			4693e1b2-136e-40f5-b084-9212f6b4bbbf
Julia	Default		d,df+1<2	Flash Punch > Flash Elbow	14,21	m,m	FSc	11	-7	KD	KD				b572d252-3262-41a1-86a0-3f4d3c458573
Julia	Default		1~1	G-Clef > Club Fist	10,5	h,m		8	-15	-4	-4				35710ab0-a560-4e78-a92c-94520190a089
Julia	Default		1~1,1	G-Clef > Club Fist > Flash Uppercut	10,5,21	h,m,m	JG	8	-14	KD	KD				26e647fa-cfd6-4a44-ab99-1e7c86754389
Julia	Default		1~1,4	G-Clef > Club Fist > Bow & Arrow (First)	10,5,12	h,m,L		8	-13	-2	-2				ce17ccaa-58f8-431f-abf5-ec7edcc4357e
Julia	Default		1~1,4,3	G-Clef > Club Fist > Bow & Arrow (Second)	10,5,12,15	h,m,L,m		8	-12	KD	KD				ce17ccaa-58f8-431f-abf5-ec7edcc4357e
Julia	Default		df+1	Club Fist	8	m		20	-15	-4	-4				06058ee5-b725-48f1-b4e0-126d1fba930f
Julia	Default		df+1,1	Club Fist > Flash Uppercut	8,21	m,m	JG	20	-14	KD	KD				c3ab529e-61bb-4c5d-af2b-4e22d160efee
Julia	Default		df+1,4	Club Fist > Bow & Arrow (First)	8,12	m,L		20	-13	-2	-2				178b4460-0983-4984-8a5a-e1acd0d8690a
Julia	Default		df+1,4,3	Club Fist > Bow & Arrow (Second)	8,12,15	m,L,m		20	-12	KD	KD				178b4460-0983-4984-8a5a-e1acd0d8690a
Julia	Default		1~2	G-Clef > Gut Punch	5,8	h,m		8	-15	+5	+5		If the 1st hit is a counter hit, the damage of the 2nd hit will be 16. If the string is complete (1~2~1) the damage is 15.		f4c49e0f-9d42-490c-b08f-228602d89f35
Julia	Default		1~2~1	G-Clef > Gut Punch > Skyscraper Cannon	5,8,21	h,m,m	CH	8					The 3rd only occurs if the 1st hit was a counter hit or the 2nd hit connected on the opponents side.		d6146acb-2e13-473f-9d79-3d79f21afd6f
Julia	Default		1~2,3	G-Clef > Gut Punch > Low Kick	5,8,10	h,m,L	RC	8	-17	-3	-3				18ed0191-ad5a-405b-a3fc-b0f6b3b39720
Julia	Default		1~2,4	G-Clef > Gut Punch > High Kick	5,8,20	h,m,h		8	-7	-7	KD				cc2f1f62-9254-4475-aa31-e796aa2e996f
Julia	Default		f,f+1	Party Crasher	10	m		11	-2	KD	KD				382453a7-1360-48dc-a4ea-2eb2991e5dc3
Julia	Default		f,f+1<4	Party Crasher > Skyscraper Kick	10,15	m,m	JG	11	-11	KD	KD				d4f9fba1-f3d6-4838-bd31-e31046130e3e
Julia	Default		f+1~2	Palm Explosion	21	m	FSc	30	-13	KD	KD				8c3f7a5e-8055-46b5-ab31-adec7d8e90b5
Julia	Default		1+4	Club Fist	12,12	m,L		20	-13	-2	-2				d5c490e6-b9aa-46b6-badf-e0b41273081c
Julia	Default		1+4,3	Club Fist > Bow & Arrow	12,12,15	m,L,m		20	12	KD	KD				d5c490e6-b9aa-46b6-badf-e0b41273081c
Julia	Default		df+2	Gut Punch	10	m		16	-6	+5	+5				b87156d7-3dac-434a-86d6-2d2bba5f3947
Julia	Default		df+2,1	Gut Punch > Skyscraper Cannon	10,21	m,m	JG	16					Has to hit from the front to work.		5cbd7253-2f0c-46a4-a9e9-ddaa5215530c
Julia	Default		df+2,3	Gut Punch > Low Kick	10,10	m,L	RC	16	-17	-3	-3				8faf58f6-555c-451d-9d33-3e3562224b59
Julia	Default		df+2,4	Gut Punch > High Kick	10,20	m,h		16	-7	-7	KD				b2c655e0-0d86-48c4-967c-20f831962f5b
Julia	Default		d+2~N+3	Ultimate Cannon (First)	10,9	s,m	JG	10	-11	0	0	2+3			58f0c77e-896b-48d1-bee1-1d4c9f9396e5
Julia	Default		d+2~N+3,1	Ultimate Cannon (Second)	10,9,25	s,m,m	JG	10	-8	KD	KD				58f0c77e-896b-48d1-bee1-1d4c9f9396e5
Julia	Default		WR+2	Flash Elbow	20	m	FSc	12	-20	KD	KD	FC,df+2			fa48ca00-a54f-4441-bd44-679aea30159c
Julia	Default		b+2	Arm Whip	12	h	OB	10	0	-1	-1	2~b	The Arm Whip needs to hit for Julia to spin around the opponent.		046410d5-bbc3-4bd3-9a12-93a46af44b65
Julia	Default		b+2,1+2	Arm Whip	12	h		10	+2	+2	+2			TRUE	ffb25eb0-c85d-440c-9697-b8e27eb5b375
Julia	Crouching		WS+2	Tequila Sunrise	15	m		18	-11	0	-6	3~2			0037b2a2-501a-4ad5-aa2c-afb3f5d46909
Julia	Crouching		WS+2,2	Tequila Sunrise > Flash Elbow	15,22	m,m		18	-20	KD	KD				df05ea0f-bb69-470d-ad9e-eeb4f9f793bc
Julia	Crouching		WS+2,1	Tequila Sunrise > Club Fist	15,5	m,m	JG	18	-15	-4	-4				8ed3e3a1-7912-4bab-88ed-0091577b4fba
Julia	Crouching		WS+2,1,1	Tequila Sunrise > Club Fist > Flash Uppercut	15,5,21	m,m,m	JG	18	-14	KD	KD				8ed3e3a1-7912-4bab-88ed-0091577b4fba
Julia	Crouching		WS+2,1	Tequila Sunrise > Club Fist	15,5	m,m		18	-15	-4	-4				8459def0-6afe-4b42-ae05-3d1d6f4725a9
Julia	Crouching		WS+2,1,4	Tequila Sunrise > Club Fist > Bow & Arrow (First)	15,5,12	m,m,L		18	-13	-2	-2				8459def0-6afe-4b42-ae05-3d1d6f4725a9
Julia	Crouching		WS+2,1,4,3	Tequila Sunrise > Club Fist > Bow & Arrow (Second)	15,5,12,15	m,m,L,m		18	-12	KD	KD				8459def0-6afe-4b42-ae05-3d1d6f4725a9
Julia	Crouching		WS+2,4	Tequila Sunrise > Razor Sweep	15,12	m,L	RC	18	-10	+1	+1				a2513e7a-699a-43b9-918f-dbc8c9eff62c
Julia	Crouching		WS+2,4,4	Tequila Sunrise > Razor Sweep > High Kick	15,12,23	m,L,h		18	-19	-3	-3				9413f2b5-4982-49c7-9551-38b74f5e5994
Julia	Crouching		WS+2,4,d+4	Tequila Sunrise > Razor Sweep > Low Kick	15,12,10	m,L,L	RC	18	-14	-8	-8				01a5e104-7c4f-46cf-bb6d-9e1f99f32192
Julia	Crouching		WS+2,4,1	Tequila Sunrise > Razor Sweep > Razor's Edge	15,12,21	m,L,m	JG	18	-18	KD	KD				b67b1958-899f-440d-81ef-fd3cf09dd51c
Julia	Default		uf+3+4	Earthquale Stomp	35	M		48	-32	KD	KD				59928bfb-4beb-42a3-a6f1-48df7624abfd
Julia	Default		3+4	Counter Clockwise Spin	-	-							Chains into Spinning Razor Kick Variations. First kick will do 20 damage.		1dc06bad-9af7-4b6b-8e24-97374041d691
Julia	Default		d+4	Razor Sweep	10	L	RC	20	-9	-10	-10				3bca7870-8165-4875-9d9c-6864ca74281f
Julia	Default		d+4,N+4	Razor Sweep > High Kick	10,23	L,h		20	-19	-3	-3				b1b6237a-be13-47e5-9773-75c70bb553ce
Julia	Default		d+4,d+4	Razor Sweep > Low Kick	10,10	L,L	RC	20	-14	-8	-8				2cf2367e-0010-4be3-8881-a3cdca64ab22
Julia	Default		d+4,1	Razor Sweep > Razor's Edge	10,21	L,m	JG	20	-18	KD	KD				d6601db0-f866-49cb-9363-41fa22774e5b
Julia	Default		4,4	Spinning Razor Kicks (Second)	20,12	h,L	RC	10	-7	+4	+4				9cedce07-a30c-4f87-9657-4bc994b3285f
Julia	Default		4,4,4	Spinning Razor Kicks > High Kick	20,12,23	h,L,h		10	-19	-3	-3				ad75bd53-98ec-4d06-bfb9-7ef8eb967ec1
Julia	Default		4,4,d+4	Spinning Razor Kicks > Low Kick	20,12,10	h,L,L	RC	10	-14	-8	-8				6037ad7a-2940-4121-be82-82ee10e80616
Julia	Default		4,4,1	Spinning Razor Kicks > Razor's Edge	20,12,21	h,L,m	JG	10	-18	KD	KD				ca0f1987-b5c8-48a7-bdd0-7b0c0705ecf6
Julia	Crouching		WS+4	Skyscraper Kick	15	m		11	-17	KD	KD				64e40921-dd7d-471e-ba26-935c1a67d9f1
Julia	Crouching		FC df+4	Bow & Arrow (First)	12	L		16	-14	-3	-3				008e985a-af41-49f1-b7cd-7cbf6df530c9
Julia	Crouching		FC df+4,3	Bow & Arrow (Second)	12,15	L,m		16	-14	KD	KD				008e985a-af41-49f1-b7cd-7cbf6df530c9
Julia	Crouching		FC+1+3	Low Parry	-	-						FC+2+4; d+1+3; d+2+4			b40b6460-e7fd-4bef-bd6e-ca79521c396c
Julia	Default		2+3+4	Wave Taunt	-	-									fa995e30-6d41-49b5-b4c6-69bcc4336ef5
Julia	Default		f+1+4	Heaven Cannon	50	!	JG	67		KD	KD				2162efdb-35cc-4c7b-93d6-8e916e2f2f72
Julia	Default	throw	1+3	Death Valley Bomb	35	Front	1	12							f76962d3-8434-402d-8613-508f987a154c
Julia	Default	throw	2+4	Fisherman Suplex	30	Front	2	12							ef5757e9-51b7-473b-bb57-1df917f2c6f6
Julia	Default	throw	df+1+2	Arm Lock Suplex	37	Front	1+2	11							b49d4428-9cda-4b01-b70b-91e278c4293d
Julia	Default	throw	d,DB+1+3	Waist Suplex	30	Front	1	11							65e372e9-f6fe-436f-8490-53d1f66103e2
Julia	Crouching	throw	FC db,d,db+1+2	Cross Arm Lock	45	Front	1+2	12							dca816e7-f73b-40d5-bad9-a55ccf146d97
Julia	Default	throw	qcb,f+2	Mad Axes	14,14,14	Front	1+2	10							d8282c64-e48f-4db2-978e-1bc3748e76f5
Julia	Default	throw	(1+3_2+4)	Running Bulldog	40	Left	1								2f9f0bd0-be60-4e4d-8294-d78069d80df7
Julia	Default	throw	(1+3_2+4)	Twisted Sister	45	Right	2								ce63da7a-f0f4-4fda-89e3-6a2618e29ba0
Julia	Default	throw	(1+3_2+4)	German Suplex	50	Back	None								5f4926be-d1ee-480b-93f4-c75c9b579f1f
Julia	Default	10string	2,1,1,2,3,3,3,4,4,1		8,6,6,6,6,6,6,7,8,25	h"mm"hLm"hh"Lm							10 hits		7a3959ae-5e29-42ea-8207-de2543f68a20
Julia	Default	10string	2,1,1,2,3,3,2,3,2,1		8,6,6,6,6,6,7,5,5,30	h"mm"hLm"mL"m!							10 hits		5ca9cfed-a777-40f5-8357-bbef843e0d33
Julia	Default	10string	2,1,1,2,3,3,2,1,4,3		8,6,6,6,6,67,7,10,25	h"mm"hLm"mm"Lm							10 hits		7dcd29ff-dd18-4e8d-971f-977250a1888d
Ling	Default		1	Left Jab (Generic i8)				8	+1	+7	+7				365ad059-f0ba-4788-94cb-2ca4f30ab7d9
Ling	Default		2	Right Jab (Generic i10)				10	-2	+9	+9				ed731256-8ddc-42fc-b741-8291857becdc
Ling	Default		3	Left Kick (Generic i14)				14	-16	KD	KD				7638beda-f6e1-4aa2-8d6e-8824de038132
Ling	Default		4	Right Kick (Generic i10)				10	-4	+7	KD				617dd17e-a252-48f6-8c3e-e166ca7e0c69
Ling	Default		F,1					8	0	+7	+7				8f454b96-4c9e-49dd-9519-ae3147906c73
Ling	Default		F,2					10	-2	+9	+9				21b5e6c4-fe7f-4345-a9cb-5b9f91146009
